      Step     Time          Energy         fmax
BFGS:    0 17:42:21      -61.280094        0.6225
BFGS:    1 17:43:45      -61.299724        0.5075
BFGS:    2 17:45:12      -61.320063        0.2464
BFGS:    3 17:46:23      -61.322850        0.1799
BFGS:    4 17:47:36      -61.328024        0.1375
BFGS:    5 17:48:52      -61.331863        0.1469
BFGS:    6 17:50:21      -61.335139        0.1302
BFGS:    7 17:51:36      -61.338339        0.1127
BFGS:    8 17:52:56      -61.340146        0.0900
BFGS:    9 17:54:11      -61.341519        0.0691
BFGS:   10 17:55:04      -61.341829        0.0797
BFGS:   11 17:56:06      -61.342119        0.0748
BFGS:   12 17:57:15      -61.343166        0.0606
BFGS:   13 17:58:19      -61.343813        0.0646
BFGS:   14 17:59:33      -61.344123        0.0600
BFGS:   15 18:00:22      -61.344134        0.0405
BFGS:   16 18:01:15      -61.344174        0.0310
BFGS:   17 18:02:05      -61.344397        0.0264
BFGS:   18 18:03:09      -61.344452        0.0285
BFGS:   19 18:03:56      -61.344382        0.0174
BFGS:   20 18:04:47      -61.344489        0.0167
BFGS:   21 18:05:33      -61.344605        0.0207
BFGS:   22 18:06:26      -61.344647        0.0225
BFGS:   23 18:07:27      -61.344682        0.0199
BFGS:   24 18:08:26      -61.344694        0.0189
BFGS:   25 18:09:14      -61.344626        0.0171
BFGS:   26 18:10:08      -61.344617        0.0155
BFGS:   27 18:11:01      -61.344557        0.0113
BFGS:   28 18:11:49      -61.344724        0.0086
