      Step     Time          Energy         fmax
BFGS:    0 08:19:28      -61.307177        0.3308
BFGS:    1 08:20:22      -61.312532        0.2771
BFGS:    2 08:21:33      -61.324228        0.1725
BFGS:    3 08:22:25      -61.326369        0.1644
BFGS:    4 08:23:35      -61.334051        0.1567
BFGS:    5 08:24:27      -61.335830        0.1446
BFGS:    6 08:25:27      -61.339332        0.1195
BFGS:    7 08:26:22      -61.340716        0.0937
BFGS:    8 08:27:15      -61.341956        0.0770
BFGS:    9 08:28:07      -61.342690        0.0728
BFGS:   10 08:28:58      -61.343359        0.0693
BFGS:   11 08:29:50      -61.343853        0.0636
BFGS:   12 08:30:42      -61.344163        0.0551
BFGS:   13 08:31:33      -61.344290        0.0448
BFGS:   14 08:32:22      -61.344366        0.0328
BFGS:   15 08:33:11      -61.344464        0.0374
BFGS:   16 08:33:40      -61.344404        0.0380
BFGS:   17 08:34:06      -61.344648        0.0281
BFGS:   18 08:34:35      -61.344887        0.0203
BFGS:   19 08:35:03      -61.344978        0.0169
BFGS:   20 08:35:29      -61.345012        0.0209
BFGS:   21 08:35:53      -61.345105        0.0155
BFGS:   22 08:36:19      -61.345115        0.0147
BFGS:   23 08:36:45      -61.345206        0.0194
BFGS:   24 08:37:07      -61.345206        0.0144
BFGS:   25 08:37:31      -61.345300        0.0100
