MinModeTranslate: STEP      TIME          ENERGY    MAX-FORCE     STEPSIZE    CURVATURE  ROT-STEPS
MinModeTranslate:    0  16:30:35      -85.719776       0.0981     --------    -1.990690          2
MinModeTranslate:    0  16:31:37      -85.719776       0.0981     0.005735    -1.990690          2
MinModeTranslate:    1  16:36:46      -85.719844       0.0571     --------    -2.372682          2
MinModeTranslate:    1  16:37:47      -85.719844       0.0571     0.008513    -2.372682          2
MinModeTranslate:    2  16:42:54      -85.719659       0.0780     --------    -2.637718          2
MinModeTranslate:    2  16:43:59      -85.719659       0.0780     0.010694    -2.637718          2
MinModeTranslate:    3  16:49:15      -85.719654       0.0443     --------    -2.682396          2
MinModeTranslate:    3  16:50:20      -85.719654       0.0443     0.005516    -2.682396          2
MinModeTranslate:    4  16:55:22      -85.719840       0.0344     --------    -2.740064          2
MinModeTranslate:    4  16:56:24      -85.719840       0.0344     0.003271    -2.740064          2
MinModeTranslate:    5  17:01:25      -85.719987       0.0331     --------    -2.705178          2
MinModeTranslate:    5  17:02:29      -85.719987       0.0331     0.002370    -2.705178          2
MinModeTranslate:    6  17:07:39      -85.720076       0.0194     --------    -2.664419          2
