                 Step     Time          Energy         fmax
SteepestDescent:    0 07:20:14      -85.724825        0.1022
SteepestDescent:    1 07:20:38      -85.725402        0.1134
SteepestDescent:    2 07:21:02      -85.725894        0.1193
SteepestDescent:    3 07:21:26      -85.726518        0.1248
SteepestDescent:    4 07:21:50      -85.727190        0.1305
SteepestDescent:    5 07:22:14      -85.727857        0.1359
SteepestDescent:    6 07:22:39      -85.728570        0.1412
SteepestDescent:    7 07:23:03      -85.729381        0.1455
SteepestDescent:    8 07:23:28      -85.730220        0.1496
SteepestDescent:    9 07:23:52      -85.731057        0.1538
SteepestDescent:   10 07:24:16      -85.732035        0.1577
SteepestDescent:   11 07:24:43      -85.733055        0.1610
SteepestDescent:   12 07:25:08      -85.734129        0.1630
SteepestDescent:   13 07:25:32      -85.735214        0.1659
SteepestDescent:   14 07:25:59      -85.736357        0.1685
SteepestDescent:   15 07:26:25      -85.737556        0.1702
SteepestDescent:   16 07:26:50      -85.738708        0.1716
SteepestDescent:   17 07:27:16      -85.740037        0.1731
SteepestDescent:   18 07:27:41      -85.741381        0.1741
SteepestDescent:   19 07:28:07      -85.742734        0.1753
SteepestDescent:   20 07:28:34      -85.744137        0.1750
SteepestDescent:   21 07:28:58      -85.745544        0.1733
SteepestDescent:   22 07:29:25      -85.746898        0.1728
SteepestDescent:   23 07:29:51      -85.748317        0.1712
SteepestDescent:   24 07:30:16      -85.749786        0.1681
SteepestDescent:   25 07:30:42      -85.751160        0.1659
SteepestDescent:   26 07:31:09      -85.752532        0.1611
SteepestDescent:   27 07:31:34      -85.753916        0.1566
SteepestDescent:   28 07:32:02      -85.755203        0.1526
SteepestDescent:   29 07:32:29      -85.756493        0.1480
SteepestDescent:   30 07:32:57      -85.757760        0.1427
SteepestDescent:   31 07:33:25      -85.758996        0.1375
SteepestDescent:   32 07:33:52      -85.760211        0.1327
SteepestDescent:   33 07:34:22      -85.761373        0.1270
SteepestDescent:   34 07:34:50      -85.762463        0.1225
SteepestDescent:   35 07:35:18      -85.763569        0.1181
SteepestDescent:   36 07:35:45      -85.764647        0.1140
SteepestDescent:   37 07:36:13      -85.765664        0.1091
SteepestDescent:   38 07:36:41      -85.766636        0.1044
SteepestDescent:   39 07:37:08      -85.767559        0.0997
SteepestDescent:   40 07:37:33      -85.768442        0.0950
                 Step     Time          Energy         fmax
SteepestDescent:    0 07:37:33      -85.768442        0.0950
SteepestDescent:    1 07:37:58      -85.769284        0.0917
SteepestDescent:    2 07:38:25      -85.770031        0.0912
SteepestDescent:    3 07:38:52      -85.770785        0.0897
SteepestDescent:    4 07:39:19      -85.771500        0.0876
SteepestDescent:    5 07:39:44      -85.772197        0.0861
SteepestDescent:    6 07:40:09      -85.772864        0.0838
SteepestDescent:    7 07:40:35      -85.773454        0.0831
SteepestDescent:    8 07:41:02      -85.774052        0.0812
SteepestDescent:    9 07:41:29      -85.774614        0.0787
SteepestDescent:   10 07:41:54      -85.775158        0.0774
SteepestDescent:   11 07:42:19      -85.775678        0.0751
SteepestDescent:   12 07:42:46      -85.776127        0.0731
SteepestDescent:   13 07:43:13      -85.776589        0.0723
SteepestDescent:   14 07:43:40      -85.777042        0.0697
SteepestDescent:   15 07:44:05      -85.777486        0.0680
SteepestDescent:   16 07:44:30      -85.777905        0.0659
SteepestDescent:   17 07:44:55      -85.778303        0.0646
SteepestDescent:   18 07:45:20      -85.778667        0.0626
SteepestDescent:   19 07:45:46      -85.779025        0.0610
SteepestDescent:   20 07:46:12      -85.779355        0.0592
SteepestDescent:   21 07:46:37      -85.779661        0.0582
SteepestDescent:   22 07:47:03      -85.779950        0.0555
SteepestDescent:   23 07:47:28      -85.780257        0.0549
SteepestDescent:   24 07:47:54      -85.780518        0.0527
SteepestDescent:   25 07:48:19      -85.780793        0.0518
SteepestDescent:   26 07:48:45      -85.781019        0.0499
