      Step     Time          Energy         fmax
BFGS:    0 15:01:46      -62.578789       39.0580
BFGS:    1 15:03:03      -66.567100       28.5758
BFGS:    2 15:04:19      -69.898882       25.5800
BFGS:    3 15:05:34      -72.733450       19.4083
BFGS:    4 15:06:48      -74.955580       16.4350
BFGS:    5 15:08:02      -76.674075       14.0035
BFGS:    6 15:09:14      -78.126299       12.1081
BFGS:    7 15:10:27      -79.430632       10.4252
BFGS:    8 15:11:41      -80.629779        8.8855
BFGS:    9 15:12:55      -81.616246        7.6054
BFGS:   10 15:14:09      -82.433700        6.4991
BFGS:   11 15:15:22      -83.110049        5.4810
BFGS:   12 15:16:42      -83.668460        4.5413
BFGS:   13 15:17:51      -84.127579        3.6636
BFGS:   14 15:18:59      -84.495801        2.8389
BFGS:   15 15:20:06      -84.780535        2.0453
BFGS:   16 15:21:15      -84.987237        1.3059
BFGS:   17 15:22:26      -85.127323        1.0377
BFGS:   18 15:23:33      -85.221648        1.0133
BFGS:   19 15:24:42      -85.296904        0.8511
BFGS:   20 15:25:53      -85.368821        0.8451
BFGS:   21 15:27:01      -85.439130        0.8260
BFGS:   22 15:28:09      -85.503707        0.6546
BFGS:   23 15:29:10      -85.552467        0.5097
BFGS:   24 15:30:09      -85.580772        0.4591
BFGS:   25 15:31:22      -85.617223        0.3077
BFGS:   26 15:32:24      -85.634894        0.3225
BFGS:   27 15:33:28      -85.651628        0.3143
BFGS:   28 15:34:30      -85.662035        0.2422
BFGS:   29 15:35:36      -85.672427        0.1870
BFGS:   30 15:36:32      -85.680234        0.2059
BFGS:   31 15:37:27      -85.684892        0.1791
BFGS:   32 15:38:23      -85.688755        0.1452
BFGS:   33 15:39:22      -85.691494        0.1220
BFGS:   34 15:40:18      -85.694136        0.1177
BFGS:   35 15:41:16      -85.697327        0.1538
BFGS:   36 15:42:10      -85.699722        0.1256
BFGS:   37 15:43:05      -85.701893        0.0987
BFGS:   38 15:44:05      -85.703668        0.1229
BFGS:   39 15:45:00      -85.705379        0.1467
BFGS:   40 15:45:59      -85.706737        0.1024
BFGS:   41 15:46:56      -85.708066        0.0746
BFGS:   42 15:47:56      -85.709117        0.0736
BFGS:   43 15:48:55      -85.710329        0.0919
BFGS:   44 15:49:49      -85.711555        0.0889
BFGS:   45 15:50:47      -85.713079        0.1252
BFGS:   46 15:51:42      -85.714184        0.1132
BFGS:   47 15:52:43      -85.715420        0.0875
BFGS:   48 15:53:39      -85.716146        0.0771
BFGS:   49 15:54:31      -85.716928        0.0558
BFGS:   50 15:55:05      -85.717103        0.0532
BFGS:   51 15:55:40      -85.717432        0.0660
BFGS:   52 15:56:18      -85.717500        0.0616
BFGS:   53 15:57:11      -85.718236        0.0404
BFGS:   54 15:57:45      -85.718174        0.0369
BFGS:   55 15:58:36      -85.718510        0.0401
BFGS:   56 15:59:28      -85.718748        0.0467
BFGS:   57 16:00:05      -85.718675        0.0338
BFGS:   58 16:01:03      -85.718997        0.0261
BFGS:   59 16:01:43      -85.718867        0.0311
BFGS:   60 16:02:32      -85.719114        0.0328
BFGS:   61 16:03:19      -85.719119        0.0288
BFGS:   62 16:03:55      -85.719108        0.0258
BFGS:   63 16:04:46      -85.719334        0.0295
BFGS:   64 16:05:22      -85.719233        0.0400
BFGS:   65 16:06:02      -85.719531        0.0283
BFGS:   66 16:06:52      -85.719800        0.0204
BFGS:   67 16:07:28      -85.719728        0.0203
BFGS:   68 16:08:03      -85.719876        0.0190
BFGS:   69 16:09:09      -85.720120        0.0197
BFGS:   70 16:09:43      -85.720122        0.0177
BFGS:   71 16:10:23      -85.720201        0.0153
BFGS:   72 16:10:56      -85.720396        0.0134
BFGS:   73 16:11:32      -85.720538        0.0105
BFGS:   74 16:12:07      -85.720605        0.0100
BFGS:   75 16:12:39      -85.720703        0.0078
